x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
0.0783507,4.35036,0.0099846,0.708907,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0781933,4.34038,0.0099846,0.718891,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0780358,4.33039,0.0099846,0.728876,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0778784,4.32041,0.0099846,0.73886,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0777209,4.31043,0.0099846,0.748845,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0775635,4.30044,0.0099846,0.75883,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.077406,4.29046,0.0099846,0.768814,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0772485,4.28048,0.0099846,0.778799,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.44552e-13,
0.0770911,4.27049,0.0099846,0.788784,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0769336,4.26051,0.0099846,0.798768,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0767762,4.25053,0.0099846,0.808753,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0766187,4.24054,0.0099846,0.818737,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.44552e-13,
0.0764613,4.23056,0.0099846,0.828722,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0763038,4.22058,0.0099846,0.838707,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0761464,4.21059,0.0099846,0.848691,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0759889,4.20061,0.0099846,0.858676,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0758315,4.19063,0.0099846,0.86866,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.075674,4.18064,0.0099846,0.878645,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0755165,4.17066,0.0099846,0.88863,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0753591,4.16068,0.0099846,0.898614,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0752016,4.15069,0.0099846,0.908599,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0750442,4.14071,0.0099846,0.918583,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0748867,4.13073,0.0099846,0.928568,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0747293,4.12074,0.0099846,0.938553,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0745718,4.11076,0.0099846,0.948537,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0744144,4.10078,0.0099846,0.958522,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0742569,4.09079,0.0099846,0.968506,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0740995,4.08081,0.0099846,0.978491,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.073942,4.07083,0.0099846,0.988476,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0737845,4.06084,0.0099846,0.99846,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0736271,4.05086,0.0099846,1.00844,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0734696,4.04088,0.0099846,1.01843,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0733122,4.03089,0.0099846,1.02841,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0731547,4.02091,0.0099846,1.0384,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0729973,4.01093,0.0099846,1.04838,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0728398,4.00094,0.0099846,1.05837,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0726824,3.99096,0.0099846,1.06835,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0725249,3.98098,0.0099846,1.07834,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0723675,3.97099,0.0099846,1.08832,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.07221,3.96101,0.0099846,1.09831,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0720525,3.95103,0.0099846,1.10829,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0718951,3.94104,0.0099846,1.11828,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0717376,3.93106,0.0099846,1.12826,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0715802,3.92108,0.0099846,1.13824,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0714227,3.91109,0.0099846,1.14823,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0712653,3.90111,0.0099846,1.15821,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0711078,3.89113,0.0099846,1.1682,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0709504,3.88114,0.0099846,1.17818,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0707929,3.87116,0.0099846,1.18817,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.00074e-13,
0.0706355,3.86118,0.0099846,1.19815,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.070478,3.85119,0.0099846,1.20814,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0703205,3.84121,0.0099846,1.21812,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0701631,3.83123,0.0099846,1.22811,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0700056,3.82124,0.0099846,1.23809,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0698482,3.81126,0.0099846,1.24808,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0696907,3.80128,0.0099846,1.25806,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
